iata
ATL
BHM
CLE
CLT
CVG
DTW
JFK
LGA
ORD
PHL
DFW
AMA
ATL
AUS
BWI
CLE
CVG
DAL
DEN
DFW
ELP
EWR
HOU
IAD
IAH
LAS
LAX
LBB
MAF
MCI
MCO
MDW
MSP
OAK
OKC
ONT
ORD
PDX
PHX
SAN
SAT
SEA
SFO
SLC
SMF
STL
TPA
TUL
TUS
ATL
EWR
