from_code,to_code,count,Flight Distance,Flight Time,Direct Flights
ABQ,ORD,751,"1,118 miles / 1799 km","2 hours, 17 minutes"
ABQ,PDX,366,"1,111 miles / 1788 km","2 hours, 34 minutes"
ABQ,PHX,5265,328 miles / 529 km,56 minutes,Southwest Airlines
ABQ,SAN,1034,628 miles / 1011 km,"1 hour, 32 minutes"
ABQ,SAT,424,609 miles / 980 km,"1 hour, 43 minutes"
ABQ,SEA,721,"1,180 miles / 1898 km","2 hours, 43 minutes"
ABQ,SFO,530,896 miles / 1443 km,"2 hours, 13 minutes"
ABQ,SLC,2307,493 miles / 793 km,"1 hour, 17 minutes"
ABQ,SMF,466,866 miles / 1394 km,"2 hours, 14 minutes"
ABQ,STL,366,934 miles / 1503 km,"1 hour, 56 minutes"
ABQ,TPA,366,"1,498 miles / 2410 km","3 hours, 30 minutes"
ABQ,TUL,230,608 miles / 979 km,"1 hour, 43 minutes"
ABQ,TUS,719,321 miles / 517 km,52 minutes
ABY,ATL,1095,146 miles / 234 km,34 minutes
ACK,EWR,234,219 miles / 352 km,56 minutes
ACK,JFK,223,199 miles / 321 km,43 minutes,Cape Air
ACT,DFW,1993,89 miles / 144 km,27 minutes
ACV,CEC,362,56 miles / 90 km,20 minutes
ACV,MRY,2,327 miles / 526 km,"1 hour, 9 minutes"
ACV,SFO,2343,250 miles / 402 km,"1 hour, 3 minutes"
ACV,SJC,1,275 miles / 443 km,"1 hour, 3 minutes"
ACV,SLC,388,635 miles / 1021 km,"1 hour, 46 minutes"
ACV,SMF,618,207 miles / 333 km,47 minutes
ACY,ATL,113,678 miles / 1092 km,"1 hour, 50 minutes"
ACY,JFK,1,92 miles / 148 km,41 minutes
ACY,LGA,2,98 miles / 158 km,42 minutes
ADK,ANC,102,"1,193 miles / 1919 km","2 hours, 32 minutes"
ADQ,ANC,706,253 miles / 407 km,42 minutes
AEX,ATL,983,500 miles / 805 km,"1 hour, 15 minutes"
AEX,DFW,1005,285 miles / 458 km,51 minutes
AEX,IAH,342,190 miles / 306 km,37 minutes
AGS,ATL,2380,143 miles / 231 km,33 minutes
AGS,CLT,16,140 miles / 225 km,32 minutes
AGS,LGA,7,678 miles / 1091 km,"1 hour, 47 minutes"
AKN,ANC,78,289 miles / 465 km,47 minutes
AKN,DLG,38,71 miles / 115 km,39 minutes
ALB,ATL,1154,852 miles / 1372 km,"2 hours, 10 minutes"
ALB,BOS,1,145 miles / 233 km,47 minutes
ALB,BWI,2297,288 miles / 464 km,57 minutes
ALB,CLE,1113,424 miles / 682 km,"1 hour, 11 minutes"
ALB,CLT,956,646 miles / 1039 km,"1 hour, 46 minutes"
ALB,CVG,914,622 miles / 1002 km,"1 hour, 45 minutes"
ALB,DCA,327,318 miles / 512 km,"1 hour, 8 minutes"
ALB,DTW,1013,489 miles / 787 km,"1 hour, 22 minutes"
ALB,EWR,611,143 miles / 230 km,36 minutes
ALB,FLL,60,"1,204 miles / 1938 km","2 hours, 50 minutes"
