Aircraft ID,Journey
Aircraft 76,ATL -> HOU -> STL -> MDW -> BNA -> ATL
Aircraft 77,ATL -> CRP -> DFW -> AUS -> MSY -> ATL
Aircraft 78,ATL -> BWI -> DTW -> CLE -> MEM -> JAN -> ATL
Aircraft 79,ATL -> CVG -> MCI -> DFW -> MSY -> BHM -> ATL
Aircraft 80,ATL -> DFW -> RDU -> CLT -> AGS -> ATL
Aircraft 81,ATL -> TPA -> DCA -> CMH -> CLE -> CVG -> SDF -> ATL
Aircraft 82,ATL -> CLT -> DFW -> STL -> BHM -> ATL
Aircraft 83,ATL -> TUL -> IAH -> CLT -> AGS -> ATL
Aircraft 84,ATL -> ICT -> MEM -> LEX -> MEM -> HSV -> ATL
Aircraft 85,ATL -> PIT -> ORD -> PHL -> DCA -> CLT -> ATL
Aircraft 86,ATL -> BUF -> CLT -> PIT -> CVG -> SDF -> ATL
Aircraft 87,ATL -> DFW -> PIA -> ORD -> CVG -> GSP -> ATL
Aircraft 88,ATL -> IAH -> DSM -> ATL
Aircraft 89,ATL -> TPA -> MCI -> BNA -> BHM -> ATL
