from_code,to_code,count,flightdistance,flighttime,airline
CLE,SLC,346,"1,566 miles / 2519 km","3 hours, 38 minutes",<undefined>
CLE,SRQ,118,"967 miles / 1556 km","2 hours, 26 minutes",Frontier Airlines
CLE,STL,1191,"487 miles / 783 km","1 hour, 17 minutes",<undefined>
CLE,SYR,696,"317 miles / 510 km","48 minutes",<undefined>
CLE,TPA,874,"927 miles / 1491 km","2 hours, 6 minutes",Frontier Airlines
CLE,TUL,10,"837 miles / 1347 km","2 hours, 10 minutes",<undefined>
CLE,TYS,495,"403 miles / 649 km","1 hour, 18 minutes",<undefined>
CLL,DFW,1105,"164 miles / 264 km","36 minutes",<undefined>
CLL,IAH,262,"74 miles / 119 km","22 minutes",<undefined>
CLT,ABE,465,"480 miles / 773 km","1 hour, 12 minutes",American Airlines
CLT,AGS,17,"140 miles / 225 km","30 minutes",American Airlines
CLT,ALB,978,"646 miles / 1039 km","1 hour, 33 minutes",American Airlines
CLT,ATL,6722,"227 miles / 365 km","43 minutes",American Airlines
CLT,ATW,1,"742 miles / 1195 km","1 hour, 59 minutes",<undefined>
CLT,AUS,660,"1,032 miles / 1662 km","2 hours, 24 minutes",American Airlines
CLT,BDL,1834,"644 miles / 1036 km","1 hour, 29 minutes",American Airlines
CLT,BHM,787,"351 miles / 565 km","57 minutes",American Airlines
CLT,BNA,2126,"329 miles / 529 km","56 minutes",American Airlines
CLT,BOS,3551,"727 miles / 1171 km","1 hour, 40 minutes",<undefined>
CLT,BUF,1434,"546 miles / 879 km","1 hour, 18 minutes",American Airlines
CLT,BWI,3684,"361 miles / 581 km","58 minutes",American Airlines
CLT,CHS,1122,"168 miles / 270 km","32 minutes",American Airlines
CLT,CLE,1971,"430 miles / 692 km","1 hour, 7 minutes",American Airlines
CLT,CMH,125,"347 miles / 558 km","56 minutes",American Airlines
CLT,CVG,877,"335 miles / 539 km","57 minutes",American Airlines
CLT,DAB,23,"416 miles / 669 km","1 hour, 1 minute",American Airlines
CLT,DCA,2988,"331 miles / 532 km","54 minutes",American Airlines
CLT,DEN,1925,"1,338 miles / 2153 km","3 hours, 6 minutes",American Airlines
CLT,DFW,3796,"936 miles / 1506 km","2 hours, 17 minutes",American Airlines
CLT,DTW,2701,"500 miles / 804 km","1 hour, 20 minutes",American Airlines
CLT,EGE,13,"1,455 miles / 2342 km","3 hours, 25 minutes",<undefined>
CLT,EWR,5953,"528 miles / 850 km","1 hour, 21 minutes",American Airlines
CLT,FAY,95,"118 miles / 190 km","24 minutes",American Airlines
CLT,FLL,3295,"632 miles / 1016 km","1 hour, 34 minutes",American Airlines
CLT,GRR,1,"584 miles / 939 km","1 hour, 40 minutes",American Airlines
CLT,GSO,985,"83 miles / 134 km","24 minutes",American Airlines
CLT,HSV,13,"333 miles / 537 km","52 minutes",American Airlines
CLT,IAD,3126,"322 miles / 518 km","55 minutes",American Airlines
CLT,IAH,3711,"913 miles / 1469 km","2 hours, 16 minutes",American Airlines
CLT,ILM,1257,"185 miles / 297 km","32 minutes",American Airlines
CLT,IND,1230,"428 miles / 688 km","1 hour, 10 minutes",American Airlines
CLT,JAX,2524,"328 miles / 528 km","52 minutes",American Airlines
CLT,JFK,1866,"541 miles / 871 km","1 hour, 20 minutes",American Airlines
CLT,LAS,1734,"1,916 miles / 3084 km","4 hours, 16 minutes",American Airlines
CLT,LAX,1458,"2,125 miles / 3420 km","4 hours, 38 minutes",American Airlines
CLT,LGA,5339,"544 miles / 875 km","1 hour, 19 minutes",American Airlines
CLT,LIT,39,"641 miles / 1031 km","1 hour, 34 minutes",American Airlines
CLT,MCI,1183,"809 miles / 1301 km","2 hours, 3 minutes",American Airlines
CLT,MCO,3277,"468 miles / 753 km","1 hour, 9 minutes",American Airlines
CLT,MDT,1144,"413 miles / 664 km","1 hour, 3 minutes",American Airlines
CLT,MDW,13,"584 miles / 940 km","1 hour, 40 minutes",<undefined>
CLT,MEM,2578,"512 miles / 823 km","1 hour, 21 minutes",American Airlines
CLT,MHT,705,"737 miles / 1186 km","1 hour, 38 minutes",American Airlines
CLT,MIA,2970,"650 miles / 1046 km","1 hour, 36 minutes",American Airlines
CLT,MKE,243,"651 miles / 1048 km","1 hour, 48 minutes",American Airlines
CLT,MSP,1816,"930 miles / 1497 km","2 hours, 16 minutes",American Airlines
CLT,MSY,1466,"651 miles / 1048 km","1 hour, 34 minutes",American Airlines
CLT,MYR,2217,"156 miles / 251 km","31 minutes",American Airlines
CLT,OAJ,6,"191 miles / 307 km","32 minutes",American Airlines
CLT,ORD,5639,"599 miles / 965 km","1 hour, 34 minutes",American Airlines
CLT,ORF,1543,"290 miles / 466 km","45 minutes",American Airlines
CLT,PBI,1873,"590 miles / 949 km","1 hour, 25 minutes",American Airlines
CLT,PDX,136,"2,282 miles / 3672 km","4 hours, 58 minutes",American Airlines
CLT,PHL,3525,"448 miles / 721 km","1 hour, 12 minutes",American Airlines
CLT,PHX,2186,"1,774 miles / 2855 km","3 hours, 59 minutes",American Airlines
CLT,PIT,2349,"366 miles / 589 km","58 minutes",American Airlines
CLT,PNS,371,"488 miles / 786 km","1 hour, 13 minutes",American Airlines
CLT,PVD,1439,"683 miles / 1100 km","1 hour, 33 minutes",American Airlines
CLT,PWM,276,"812 miles / 1307 km","1 hour, 45 minutes",American Airlines
CLT,RDU,2340,"130 miles / 209 km","30 minutes",American Airlines
CLT,RIC,1801,"256 miles / 412 km","42 minutes",American Airlines
CLT,ROC,412,"573 miles / 922 km","1 hour, 19 minutes",American Airlines
CLT,RSW,1765,"600 miles / 965 km","1 hour, 29 minutes",American Airlines
CLT,SAN,704,"2,077 miles / 3342 km","4 hours, 34 minutes",American Airlines
CLT,SAT,661,"1,095 miles / 1763 km","2 hours, 34 minutes",American Airlines
CLT,SAV,1432,"213 miles / 343 km","37 minutes",American Airlines
CLT,SDF,796,"335 miles / 540 km","59 minutes",American Airlines
CLT,SEA,481,"2,279 miles / 3668 km","5 hours, 7 minutes",American Airlines
CLT,SFO,1427,"2,296 miles / 3696 km","5 hours, 3 minutes",American Airlines
CLT,SJU,796,"1,474 miles / 2373 km","3 hours, 3 minutes",American Airlines
CLT,SLC,212,"1,727 miles / 2780 km","3 hours, 54 minutes",American Airlines
CLT,SMF,76,"2,244 miles / 3611 km","4 hours, 47 minutes",American Airlines
CLT,SRQ,207,"547 miles / 880 km","1 hour, 19 minutes",American Airlines
CLT,STL,1094,"575 miles / 925 km","1 hour, 31 minutes",American Airlines
CLT,STT,418,"1,520 miles / 2446 km","3 hours, 4 minutes",American Airlines
CLT,STX,20,"1,562 miles / 2513 km","3 hours, 12 minutes",<undefined>
CLT,SYR,747,"603 miles / 971 km","1 hour, 24 minutes",American Airlines
CLT,TLH,240,"387 miles / 622 km","1 hour, 2 minutes",American Airlines
CLT,TPA,2811,"507 miles / 817 km","1 hour, 15 minutes",American Airlines
CLT,TRI,16,"120 miles / 193 km","27 minutes",American Airlines
CLT,TUS,208,"1,735 miles / 2793 km","3 hours, 58 minutes",<undefined>
CMH,ATL,1808,"446 miles / 719 km","1 hour, 10 minutes",<undefined>
CMH,BNA,685,"338 miles / 543 km","57 minutes",<undefined>
CMH,BOS,661,"640 miles / 1030 km","1 hour, 47 minutes",Southwest Airlines
CMH,BWI,1681,"337 miles / 542 km","56 minutes",<undefined>
CMH,CLE,24,"112 miles / 180 km","27 minutes",<undefined>
CMH,CLT,125,"347 miles / 558 km","57 minutes",<undefined>
CMH,CVG,1185,"115 miles / 185 km","44 minutes",<undefined>
CMH,DCA,77,"323 miles / 519 km","1 hour, 9 minutes",Southwest Airlines
CMH,DEN,385,"1,154 miles / 1858 km","2 hours, 44 minutes",Southwest Airlines
CMH,DFW,1694,"926 miles / 1490 km","2 hours, 15 minutes",<undefined>
CMH,DTW,1909,"155 miles / 249 km","39 minutes",<undefined>
CMH,EWR,1646,"462 miles / 744 km","1 hour, 17 minutes",<undefined>
CMH,GRB,1,"410 miles / 660 km","1 hour, 19 minutes",<undefined>
CMH,GRR,1,"242 miles / 389 km","59 minutes",<undefined>
CMH,IAH,841,"986 miles / 1586 km","2 hours, 28 minutes",<undefined>
CMH,ICT,1,"800 miles / 1288 km","2 hours, 6 minutes",<undefined>
CMH,JFK,515,"483 miles / 777 km","1 hour, 18 minutes",<undefined>
CMH,LAS,1341,"1,771 miles / 2850 km","4 hours, 2 minutes",Southwest Airlines
CMH,LAX,48,"1,995 miles / 3211 km","4 hours, 19 minutes",<undefined>
CMH,LGA,2355,"479 miles / 770 km","1 hour, 15 minutes",<undefined>
CMH,MCI,164,"632 miles / 1017 km","1 hour, 46 minutes",<undefined>
CMH,MCO,1074,"802 miles / 1291 km","1 hour, 49 minutes",Southwest Airlines
CMH,MDW,2643,"283 miles / 455 km","51 minutes",Southwest Airlines
CMH,MEM,1057,"518 miles / 833 km","1 hour, 22 minutes",<undefined>
CMH,MIA,469,"990 miles / 1593 km","2 hours, 20 minutes",<undefined>
CMH,MKE,1054,"330 miles / 532 km","1 hour, 10 minutes",<undefined>
CMH,MSP,1076,"626 miles / 1007 km","1 hour, 37 minutes",<undefined>
CMH,OMA,1,"689 miles / 1108 km","1 hour, 53 minutes",<undefined>
CMH,ORD,4959,"296 miles / 476 km","53 minutes",<undefined>
CMH,PBI,5,"931 miles / 1499 km","2 hours, 22 minutes",<undefined>
CMH,PHL,996,"406 miles / 653 km","1 hour, 19 minutes",<undefined>
CMH,PHX,1096,"1,670 miles / 2688 km","3 hours, 48 minutes",Southwest Airlines
CMH,RDU,500,"362 miles / 582 km","57 minutes",<undefined>
CMH,RSW,137,"930 miles / 1496 km","2 hours, 8 minutes",Southwest Airlines
CMH,SLC,291,"1,529 miles / 2460 km","3 hours, 33 minutes",<undefined>
CMH,STL,679,"409 miles / 658 km","1 hour, 6 minutes",Southwest Airlines
CMH,SYR,1,"412 miles / 663 km","1 hour, 19 minutes",<undefined>
CMH,TPA,972,"829 miles / 1334 km","1 hour, 54 minutes",Southwest Airlines
CMI,ABI,1,"825 miles / 1328 km","2 hours, 9 minutes",<undefined>
CMI,DFW,366,"693 miles / 1115 km","1 hour, 47 minutes",<undefined>
CMI,ORD,2406,"135 miles / 218 km","33 minutes",<undefined>
CMI,SPI,1,"76 miles / 122 km","39 minutes",<undefined>
CMX,MSP,318,"277 miles / 446 km","1 hour, 3 minutes",<undefined>
COD,DEN,481,"392 miles / 630 km","1 hour, 5 minutes",<undefined>
COD,SLC,707,"299 miles / 480 km","1 hour",<undefined>
COS,ABQ,1,"280 miles / 451 km","1 hour, 4 minutes",<undefined>
COS,ATL,591,"1,184 miles / 1906 km","2 hours, 21 minutes",<undefined>
COS,CLE,1,"1,220 miles / 1964 km","2 hours, 56 minutes",<undefined>
COS,CVG,104,"1,078 miles / 1734 km","2 hours, 39 minutes",<undefined>
COS,DEN,4193,"72 miles / 116 km","19 minutes",<undefined>
COS,DFW,2036,"592 miles / 952 km","1 hour, 21 minutes",<undefined>
COS,FAT,1,"833 miles / 1340 km","2 hours, 10 minutes",<undefined>
COS,IAH,1725,"809 miles / 1301 km","1 hour, 51 minutes",<undefined>
COS,LAN,1,"1,087 miles / 1749 km","2 hours, 40 minutes",<undefined>
COS,LAS,98,"604 miles / 973 km","1 hour, 36 minutes",<undefined>
COS,LAX,997,"833 miles / 1341 km","2 hours, 3 minutes",<undefined>
COS,MCI,179,"538 miles / 866 km","1 hour, 35 minutes",<undefined>
COS,MEM,117,"854 miles / 1375 km","2 hours, 13 minutes",<undefined>
COS,MKE,1,"923 miles / 1486 km","2 hours, 21 minutes",<undefined>
COS,MSP,450,"725 miles / 1166 km","1 hour, 42 minutes",<undefined>
COS,ONT,460,"789 miles / 1270 km","2 hours, 5 minutes",<undefined>
COS,ORD,1519,"911 miles / 1466 km","2 hours, 2 minutes",<undefined>
COS,PHX,1393,"551 miles / 887 km","1 hour, 24 minutes",<undefined>
COS,SAN,472,"816 miles / 1313 km","2 hours",<undefined>
COS,SFO,364,"964 miles / 1551 km","2 hours, 22 minutes",<undefined>
COS,SLC,1074,"411 miles / 661 km","1 hour, 17 minutes",<undefined>
COS,SMF,424,"911 miles / 1466 km","2 hours, 19 minutes",<undefined>
CPR,DEN,1536,"230 miles / 371 km","40 minutes",<undefined>
CPR,MSP,32,"674 miles / 1085 km","1 hour, 51 minutes",<undefined>
CPR,ORD,134,"949 miles / 1527 km","2 hours, 24 minutes",<undefined>
CPR,PIH,1,"311 miles / 501 km","1 hour, 7 minutes",<undefined>
CPR,SLC,1006,"320 miles / 515 km","1 hour, 15 minutes",<undefined>
CRP,ATL,6,"876 miles / 1410 km","2 hours, 15 minutes",<undefined>
CRP,DFW,2510,"354 miles / 570 km","1 hour, 2 minutes",<undefined>
CRP,HOU,1933,"187 miles / 301 km","34 minutes",<undefined>
CRP,IAH,821,"201 miles / 323 km","41 minutes",<undefined>
CRW,ATL,1430,"363 miles / 584 km","1 hour",<undefined>
CRW,BNA,1,"320 miles / 516 km","1 hour, 8 minutes",<undefined>
CRW,CVG,391,"172 miles / 277 km","51 minutes",<undefined>
CRW,DTW,208,"281 miles / 451 km","52 minutes",<undefined>
CRW,IAH,674,"975 miles / 1569 km","2 hours, 28 minutes",<undefined>
CRW,LEX,1,"166 miles / 267 km","50 minutes",<undefined>
CRW,ORD,709,"416 miles / 670 km","1 hour, 9 minutes",<undefined>
CSG,ATL,1481,"83 miles / 133 km","24 minutes",<undefined>
CVG,ABE,248,"502 miles / 808 km","1 hour, 30 minutes",<undefined>
CVG,ABQ,260,"1,241 miles / 1997 km","2 hours, 59 minutes",<undefined>
CVG,ALB,912,"622 miles / 1002 km","1 hour, 45 minutes",<undefined>
CVG,ANC,90,"3,110 miles / 5005 km","6 hours, 43 minutes",<undefined>
CVG,ATL,2758,"373 miles / 601 km","1 hour, 6 minutes",<undefined>
CVG,ATW,697,"411 miles / 661 km","1 hour, 19 minutes",<undefined>
CVG,AUS,653,"959 miles / 1543 km","2 hours, 25 minutes",Allegiant Air LLC
CVG,AVL,167,"275 miles / 443 km","1 hour, 3 minutes",<undefined>
CVG,AVP,357,"498 miles / 802 km","1 hour, 30 minutes",<undefined>
CVG,AZO,149,"225 miles / 361 km","57 minutes",<undefined>
CVG,BDL,1157,"661 miles / 1064 km","1 hour, 35 minutes",Delta Air Lines
CVG,BGR,127,"905 miles / 1457 km","2 hours, 19 minutes",<undefined>
CVG,BHM,852,"396 miles / 638 km","1 hour, 18 minutes",<undefined>
CVG,BNA,902,"230 miles / 371 km","43 minutes",<undefined>
CVG,BOS,1859,"751 miles / 1209 km","1 hour, 39 minutes",<undefined>
CVG,BTR,2,"693 miles / 1115 km","1 hour, 53 minutes",<undefined>
CVG,BTV,152,"701 miles / 1129 km","1 hour, 54 minutes",<undefined>
CVG,BUF,160,"410 miles / 659 km","1 hour, 19 minutes",<undefined>
CVG,BWI,1235,"429 miles / 691 km","1 hour, 8 minutes",Delta Air Lines
CVG,CAE,942,"404 miles / 650 km","1 hour, 18 minutes",<undefined>
CVG,CAK,39,"214 miles / 344 km","56 minutes",<undefined>
CVG,CHA,132,"279 miles / 448 km","1 hour, 3 minutes",<undefined>
CVG,CHO,35,"342 miles / 550 km","1 hour, 11 minutes",<undefined>
CVG,CHS,786,"497 miles / 800 km","1 hour, 30 minutes",Allegiant Air LLC
CVG,CID,873,"420 miles / 675 km","1 hour, 20 minutes",<undefined>
CVG,CLE,493,"220 miles / 354 km","39 minutes",<undefined>
CVG,CLT,926,"335 miles / 539 km","55 minutes",Delta Air Lines
CVG,CMH,795,"115 miles / 185 km","44 minutes",<undefined>
CVG,COS,104,"1,078 miles / 1734 km","2 hours, 39 minutes",<undefined>
CVG,CRW,391,"172 miles / 277 km","51 minutes",<undefined>
CVG,DAB,6,"711 miles / 1144 km","1 hour, 55 minutes",<undefined>
CVG,DAY,746,"63 miles / 102 km","38 minutes",<undefined>
CVG,DCA,2015,"411 miles / 661 km","1 hour, 1 minute",Delta Air Lines
CVG,DEN,1384,"1,070 miles / 1721 km","2 hours, 32 minutes",Delta Air Lines
CVG,DFW,3244,"812 miles / 1307 km","2 hours, 5 minutes",Delta Air Lines
CVG,DSM,983,"505 miles / 813 km","1 hour, 31 minutes",<undefined>
CVG,DTW,3023,"228 miles / 367 km","47 minutes",Delta Air Lines
CVG,EGE,30,"1,190 miles / 1915 km","2 hours, 53 minutes",<undefined>
CVG,EVV,135,"171 miles / 274 km","50 minutes",<undefined>
CVG,EWR,3094,"568 miles / 915 km","1 hour, 31 minutes",Allegiant Air LLC
CVG,FLL,683,"932 miles / 1500 km","2 hours, 10 minutes",Delta Air Lines
CVG,FSD,555,"701 miles / 1128 km","1 hour, 54 minutes",<undefined>
CVG,GRB,447,"415 miles / 669 km","1 hour, 20 minutes",<undefined>
CVG,GRR,1386,"268 miles / 432 km","45 minutes",<undefined>
CVG,GSO,1057,"330 miles / 531 km","54 minutes",<undefined>
CVG,GSP,456,"317 miles / 510 km","1 hour, 8 minutes",<undefined>
CVG,HPN,126,"597 miles / 960 km","1 hour, 42 minutes",<undefined>
CVG,HSV,800,"326 miles / 525 km","1 hour, 9 minutes",<undefined>
CVG,HTS,159,"123 miles / 198 km","45 minutes",<undefined>
CVG,IAD,783,"388 miles / 625 km","1 hour, 2 minutes",<undefined>
CVG,IAH,2048,"872 miles / 1403 km","2 hours, 13 minutes",Delta Air Lines
CVG,ILM,140,"499 miles / 804 km","1 hour, 30 minutes",<undefined>
CVG,IND,491,"99 miles / 159 km","42 minutes",<undefined>
CVG,JAC,13,"1,386 miles / 2231 km","3 hours, 16 minutes",<undefined>
CVG,JAN,120,"555 miles / 894 km","1 hour, 37 minutes",<undefined>
CVG,JAX,1125,"614 miles / 988 km","1 hour, 26 minutes",<undefined>
CVG,JFK,1532,"588 miles / 947 km","1 hour, 36 minutes",Delta Air Lines
CVG,LAN,485,"257 miles / 414 km","1 hour, 1 minute",<undefined>
CVG,LAS,921,"1,678 miles / 2701 km","3 hours, 47 minutes",Delta Air Lines
CVG,LAX,1143,"1,900 miles / 3058 km","4 hours, 12 minutes",Delta Air Lines
CVG,LEX,1525,"70 miles / 113 km","38 minutes",<undefined>
CVG,LGA,3645,"585 miles / 941 km","1 hour, 30 minutes",Delta Air Lines
CVG,LIT,49,"514 miles / 827 km","1 hour, 32 minutes",<undefined>
CVG,MCI,1491,"540 miles / 869 km","1 hour, 23 minutes",Delta Air Lines
CVG,MCO,1305,"757 miles / 1218 km","1 hour, 45 minutes",Delta Air Lines
CVG,MDT,1007,"429 miles / 690 km","1 hour, 1 minute",<undefined>
CVG,MEM,1226,"403 miles / 649 km","1 hour, 8 minutes",<undefined>
CVG,MHT,776,"740 miles / 1191 km","1 hour, 59 minutes",<undefined>
CVG,MIA,1045,"948 miles / 1526 km","2 hours, 12 minutes",<undefined>
CVG,MKE,839,"318 miles / 511 km","58 minutes",<undefined>
CVG,MSN,259,"373 miles / 600 km","59 minutes",<undefined>
CVG,MSP,1745,"596 miles / 960 km","1 hour, 38 minutes",Delta Air Lines
CVG,MSY,195,"701 miles / 1128 km","1 hour, 53 minutes",Allegiant Air LLC
CVG,MYR,13,"489 miles / 787 km","1 hour, 29 minutes",<undefined>
CVG,OKC,769,"756 miles / 1217 km","2 hours, 1 minute",<undefined>
CVG,OMA,1003,"614 miles / 988 km","1 hour, 31 minutes",<undefined>
CVG,ORD,6014,"264 miles / 426 km","49 minutes",Delta Air Lines
CVG,ORF,450,"485 miles / 781 km","1 hour, 28 minutes",<undefined>
CVG,PBI,389,"892 miles / 1436 km","2 hours, 17 minutes",Allegiant Air LLC
CVG,PDX,318,"1,975 miles / 3178 km","4 hours, 27 minutes",<undefined>
CVG,PFN,36,"612 miles / 985 km","1 hour, 43 minutes",<undefined>
CVG,PHL,1671,"506 miles / 815 km","1 hour, 14 minutes",Delta Air Lines
CVG,PHX,468,"1,569 miles / 2526 km","3 hours, 34 minutes",Delta Air Lines
CVG,PIT,1292,"256 miles / 412 km","44 minutes",<undefined>
CVG,PVD,958,"721 miles / 1161 km","1 hour, 57 minutes",<undefined>
CVG,PWM,555,"809 miles / 1303 km","2 hours, 7 minutes",<undefined>
CVG,RDU,1087,"390 miles / 628 km","59 minutes",Delta Air Lines
CVG,RIC,786,"413 miles / 664 km","59 minutes",<undefined>
CVG,ROA,1,"281 miles / 453 km","1 hour, 4 minutes",<undefined>
CVG,ROC,730,"460 miles / 740 km","1 hour, 25 minutes",<undefined>
CVG,RSW,539,"879 miles / 1414 km","1 hour, 59 minutes",Delta Air Lines
CVG,SAN,571,"1,865 miles / 3002 km","4 hours",<undefined>
CVG,SAT,882,"1,025 miles / 1650 km","2 hours, 33 minutes",<undefined>
CVG,SAV,732,"516 miles / 830 km","1 hour, 32 minutes",Allegiant Air LLC
CVG,SBN,12,"203 miles / 327 km","54 minutes",<undefined>
CVG,SCE,23,"382 miles / 615 km","1 hour, 16 minutes",<undefined>
CVG,SDF,635,"84 miles / 135 km","40 minutes",<undefined>
CVG,SEA,790,"1,965 miles / 3162 km","4 hours, 26 minutes",Delta Air Lines
CVG,SFO,777,"2,037 miles / 3278 km","4 hours, 30 minutes",Delta Air Lines
CVG,SGF,245,"491 miles / 790 km","1 hour, 29 minutes",<undefined>
CVG,SLC,1627,"1,450 miles / 2334 km","3 hours, 22 minutes",Delta Air Lines
CVG,SNA,285,"1,878 miles / 3022 km","4 hours, 15 minutes",<undefined>
CVG,SRQ,444,"813 miles / 1308 km","2 hours, 8 minutes",Allegiant Air LLC
CVG,STL,345,"308 miles / 496 km","57 minutes",Delta Air Lines
CVG,SYR,831,"527 miles / 848 km","1 hour, 33 minutes",<undefined>
CVG,TOL,20,"181 miles / 291 km","52 minutes",<undefined>
CVG,TPA,1099,"773 miles / 1244 km","1 hour, 46 minutes",Delta Air Lines
CVG,TRI,247,"216 miles / 348 km","56 minutes",<undefined>
CVG,TUL,882,"646 miles / 1040 km","1 hour, 48 minutes",<undefined>
CVG,TVC,129,"395 miles / 636 km","1 hour, 17 minutes",<undefined>
CVG,TYS,916,"227 miles / 365 km","57 minutes",<undefined>
CVG,VPS,103,"600 miles / 965 km","1 hour, 42 minutes",Allegiant Air LLC
CVG,XNA,101,"562 miles / 904 km","1 hour, 26 minutes",<undefined>
CWA,DTW,549,"363 miles / 585 km","55 minutes",<undefined>
CWA,MKE,285,"154 miles / 248 km","48 minutes",<undefined>
CWA,MLI,1,"234 miles / 376 km","58 minutes",<undefined>
CWA,MSP,13,"175 miles / 281 km","33 minutes",<undefined>
CWA,ORD,1715,"213 miles / 342 km","43 minutes",<undefined>
DAB,ATL,2412,"366 miles / 589 km","59 minutes",<undefined>
DAB,BWI,32,"733 miles / 1180 km","1 hour, 58 minutes",<undefined>
DAB,CLE,12,"844 miles / 1359 km","2 hours, 11 minutes",<undefined>
DAB,CLT,23,"416 miles / 669 km","1 hour, 9 minutes",<undefined>
DAB,CVG,6,"711 miles / 1144 km","1 hour, 55 minutes",<undefined>
DAB,EWR,311,"884 miles / 1422 km","2 hours, 16 minutes",<undefined>
DAB,JAX,1,"98 miles / 157 km","42 minutes",<undefined>
DAB,LGA,159,"896 miles / 1443 km","2 hours, 18 minutes",<undefined>
DAB,MCO,1,"54 miles / 87 km","36 minutes",<undefined>
DAL,ABQ,3106,"580 miles / 934 km","1 hour, 27 minutes",<undefined>
DAL,AMA,2665,"323 miles / 520 km","52 minutes",Southwest Airlines
DAL,AUS,5583,"189 miles / 304 km","35 minutes",<undefined>
DAL,BHM,1051,"587 miles / 945 km","1 hour, 17 minutes",Southwest Airlines
DAL,ELP,2282,"562 miles / 904 km","1 hour, 23 minutes",Southwest Airlines
DAL,HOU,9790,"239 miles / 385 km","45 minutes",Southwest Airlines
DAL,HRL,33,"458 miles / 738 km","1 hour, 25 minutes",<undefined>
DAL,IAH,3730,"216 miles / 348 km","43 minutes",<undefined>
DAL,LBB,2680,"293 miles / 472 km","49 minutes",Southwest Airlines
DAL,LIT,2330,"296 miles / 477 km","45 minutes",Southwest Airlines
DAL,MAF,1997,"319 miles / 513 km","52 minutes",Southwest Airlines
DAL,MCI,3922,"461 miles / 741 km","1 hour, 9 minutes",Southwest Airlines
DAL,MSY,2096,"436 miles / 702 km","1 hour, 2 minutes",Southwest Airlines
DAL,OKC,1686,"181 miles / 291 km","34 minutes",Southwest Airlines
DAL,ORD,1005,"798 miles / 1285 km","2 hours, 6 minutes",<undefined>
DAL,SAT,4973,"248 miles / 399 km","45 minutes",Southwest Airlines
DAL,STL,2722,"546 miles / 879 km","1 hour, 18 minutes",Southwest Airlines
DAL,TUL,2277,"237 miles / 382 km","40 minutes",Southwest Airlines
DAY,ATL,4369,"432 miles / 695 km","1 hour, 13 minutes",<undefined>
DAY,BWI,980,"406 miles / 654 km","1 hour, 1 minute",<undefined>
DAY,CLE,862,"162 miles / 261 km","33 minutes",<undefined>
DAY,CVG,755,"63 miles / 102 km","38 minutes",<undefined>
DAY,DEN,838,"1,085 miles / 1746 km","2 hours, 36 minutes",<undefined>
DAY,DFW,1037,"861 miles / 1386 km","2 hours, 8 minutes",<undefined>
DAY,DTW,1322,"165 miles / 266 km","39 minutes",<undefined>
DAY,EWR,948,"533 miles / 858 km","1 hour, 24 minutes",<undefined>
DAY,IAD,53,"368 miles / 592 km","59 minutes",<undefined>
DAY,IAH,864,"929 miles / 1495 km","2 hours, 21 minutes",<undefined>
DAY,LAS,43,"1,700 miles / 2736 km","3 hours, 54 minutes",<undefined>
DAY,MCO,416,"808 miles / 1301 km","1 hour, 49 minutes",<undefined>
DAY,MKE,609,"284 miles / 457 km","1 hour, 4 minutes",<undefined>
DAY,MSP,692,"574 miles / 924 km","1 hour, 32 minutes",<undefined>
DAY,ORD,1799,"240 miles / 387 km","46 minutes",<undefined>
DAY,TPA,204,"828 miles / 1332 km","1 hour, 53 minutes",<undefined>
DBQ,ORD,1349,"147 miles / 236 km","32 minutes",<undefined>
DCA,ALB,304,"318 miles / 512 km","1 hour, 8 minutes",American Airlines
DCA,ATL,7296,"547 miles / 880 km","1 hour, 23 minutes",American Airlines
DCA,BDL,1183,"313 miles / 504 km","51 minutes",American Airlines
DCA,BNA,1401,"562 miles / 904 km","1 hour, 30 minutes",American Airlines
DCA,BOS,8929,"399 miles / 642 km","1 hour, 3 minutes",<undefined>
DCA,BTR,129,"985 miles / 1585 km","2 hours, 30 minutes",<undefined>
DCA,BUF,632,"296 miles / 476 km","52 minutes",American Airlines
DCA,CLE,935,"310 miles / 499 km","55 minutes",American Airlines
DCA,CLT,3001,"331 miles / 532 km","57 minutes",<undefined>
DCA,CMH,77,"323 miles / 519 km","1 hour, 9 minutes",American Airlines
DCA,CVG,1841,"411 miles / 661 km","1 hour, 7 minutes",American Airlines
DCA,DEN,1429,"1,476 miles / 2375 km","3 hours, 27 minutes",<undefined>
DCA,DFW,3965,"1,192 miles / 1918 km","2 hours, 50 minutes",American Airlines
DCA,DSM,272,"897 miles / 1444 km","2 hours, 18 minutes",American Airlines
DCA,DTW,2982,"405 miles / 652 km","1 hour, 8 minutes",American Airlines
DCA,EWR,2289,"199 miles / 319 km","43 minutes",<undefined>
DCA,FLL,1361,"899 miles / 1446 km","2 hours, 10 minutes",Jetblue Airways Corporation
DCA,GRR,307,"524 miles / 844 km","1 hour, 25 minutes",American Airlines
DCA,HSV,561,"613 miles / 986 km","1 hour, 44 minutes",American Airlines
DCA,IAH,2919,"1,207 miles / 1943 km","2 hours, 53 minutes",<undefined>
DCA,IND,968,"499 miles / 804 km","1 hour, 18 minutes",American Airlines
DCA,JAN,304,"860 miles / 1384 km","2 hours, 4 minutes",American Airlines
DCA,JAX,888,"634 miles / 1020 km","1 hour, 31 minutes",American Airlines
DCA,JFK,3017,"213 miles / 343 km","45 minutes",American Airlines
