iata,country_code,region_name,icao,airport,latitude,longitude
GST,US,Alaska,PAGS,Gustavus Airport,58.4253,-135.707
GTR,US,Mississippi,KGTR,Golden Triangle Regional Airport,33.4503,-88.5914
HHH,US,South Carolina,KHXD,Hilton Head Airport,32.2244,-80.6975
HTS,US,West Virginia,KHTS,Tri-State Airport (Milton J. Ferguson Field),38.3667,-82.558
INL,US,Minnesota,KINL,Falls International Airport,48.5662,-93.4031
ITH,US,New York,KITH,Ithaca Tompkins Regional Airport,42.491,-76.4584
IYK,US,California,KIYK,Inyokern Airport,35.6588,-117.83
LCH,US,Louisiana,KLCH,Lake Charles Regional Airport,30.1261,-93.2233
LWB,US,West Virginia,KLWB,Greenbrier Valley Airport,37.8583,-80.3995
LWS,US,Idaho,KLWS,Lewiston-Nez Perce County Airport,46.3745,-117.015
LYH,US,Virginia,KLYH,Lynchburg Regional Airport (Preston Glenn Field),37.3267,-79.2004
MCN,US,Georgia,KMCN,Middle Georgia Regional Airport,32.6928,-83.6492
MEI,US,Mississippi,KMEI,Meridian Regional Airport (Key Field),32.3326,-88.7519
MOT,US,North Dakota,KMOT,Minot International Airport,48.2594,-101.28
OXR,US,California,KOXR,Oxnard Airport,34.2008,-119.207
RHI,US,Wisconsin,KRHI,Rhinelander-Oneida County Airport,45.6312,-89.4675
ROW,US,New Mexico,KROW,Roswell International Air Center,33.3016,-104.531
SJT,US,Texas,KSJT,San Angelo Regional Airport (Mathis Field),31.3577,-100.496
SLE,US,Oregon,KSLE,McNary Field,44.9095,-123.003
SPS,US,Texas,KSPS,Sheppard Air Force Base / Wichita Falls Municipal Airport,33.9888,-98.4919
SUX,US,Iowa,KSUX,Sioux Gateway Airport (Colonel Bud Day Field),42.4026,-96.3844
TEX,US,Colorado,KTEX,Telluride Regional Airport,37.9538,-107.908
TUP,US,Mississippi,KTUP,Tupelo Regional Airport,34.2681,-88.7699
TXK,US,Arkansas,KTXK,Texarkana Regional Airport (Webb Field),33.4537,-93.991
TYR,US,Texas,KTYR,Tyler Pounds Regional Airport,32.3541,-95.4024
VLD,US,Georgia,KVLD,Valdosta Regional Airport,30.7825,-83.2767
WYS,US,Montana,KWYS,Yellowstone Airport,44.6884,-111.118
YKM,US,Washington,KYKM,Yakima Air Terminal (McAllister Field),46.5682,-120.544
PUB,US,Colorado,KPUB,Pueblo Memorial Airport,38.2891,-104.497
