,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,MCO
12,PHX
13,CLT
14,MEM
15,CLE
16,JFK
17,IAD
18,LGA
19,BOS
20,BWI
21,TPA
22,FLL
23,PHL
24,DCA
25,MDW
26,STL
27,AUS
28,MCI
29,MKE
30,MIA
31,BNA
32,RDU
33,ABQ
34,JAX
35,SAT
36,IND
37,MSY
38,PIT
39,BDL
40,CMH
41,RSW
42,BHM
43,HOU
44,TUS
45,OKC
46,SDF
47,PBI
48,TUL
49,ORF
50,OMA
51,COS
52,BUF
53,DSM
54,GRR
55,LIT
56,PVD
57,XNA
58,BOI
59,MSN
60,DAL
61,ELP
62,RIC
63,ALB
64,CHS
65,DAY
66,MHT
67,PSP
68,ROC
69,SAV
70,GSO
71,GRB
72,SRQ
73,SYR
74,TYS
75,CAK
76,GJT
77,HSV
78,LEX
79,BTV
80,EGE
81,ICT
82,JAN
83,FNT
84,GSP
85,HPN
86,PWM
87,SGF
88,ATW
89,HDN
90,CAE
91,CID
92,MDT
93,MLI
94,PIA
95,ASE
96,BTR
97,BZN
98,ISP
99,MYR
100,PNS
101,ABE
102,FSD
103,JAC
104,LBB
105,LNK
106,MTJ
107,TLH
108,AMA
109,AVL
110,AVP
111,BGR
112,CHA
113,CRW
114,DAB
115,FAR
116,GPT
117,LAN
118,MAF
119,TVC
120,VPS
121,BMI
122,EVV
123,FCA
124,GTF
125,MGM
126,PHF
127,SBN
128,SHV
129,SWF
130,CWA
131,FWA
132,GUC
133,HRL
134,MOB
135,RAP
136,ROA
137,SPI
138,AGS
139,AZO
140,BIL
141,CPR
142,CRP
143,ILM
144,MBS
145,PFN
146,TRI
147,ACK
148,AEX
149,DRO
150,FSM
151,GRK
152,HLN
153,LFT
154,MFE
155,MKG
156,MLU
157,MQT
158,RKS
159,RST
160,SCE
161,TOL
162,ABI
163,BIS
164,CHO
165,CLL
166,CMI
167,DLH
168,EYW
169,FAY
170,GGG
171,LAW
172,LRD
173,LSE
174,MLB
175,OAJ
176,PIR
177,PLN
178,ABY
179,ACT
180,ACY
181,ALO
182,BGM
183,BJI
184,BPT
185,BQK
186,BRO
187,CMX
188,CSG
189,DBQ
190,DHN
191,ERI
192,EWN
193,FLO
194,GFK
195,GNV
196,GTR
197,HHH
198,HTS
199,INL
200,LCH
201,LWB
202,LYH
203,MCN
204,MEI
205,MOT
206,RHI
207,ROW
208,SJT
209,SPS
210,SUX
211,TUP
212,TXK
213,TYR
214,VLD
