,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,MCO
12,PHX
13,CLT
14,MEM
15,CLE
16,JFK
17,IAD
18,LGA
19,BOS
20,BWI
21,TPA
22,FLL
23,PHL
24,DCA
25,MDW
26,STL
27,AUS
28,MCI
29,MKE
30,MIA
31,BNA
32,RDU
33,ABQ
34,JAX
35,SAT
36,IND
37,MSY
38,PIT
39,BDL
40,CMH
41,RSW
42,BHM
43,HOU
44,TUS
45,OKC
46,SDF
47,PBI
48,TUL
49,ORF
50,OMA
51,COS
52,BUF
53,DSM
54,GRR
55,LIT
56,PVD
57,XNA
58,MSN
59,DAL
60,ELP
61,RIC
62,ALB
63,CHS
64,DAY
65,MHT
66,PSP
67,ROC
68,SAV
69,GSO
70,GRB
71,SRQ
72,SYR
73,TYS
74,CAK
75,GJT
76,HSV
77,LEX
78,BTV
79,EGE
80,ICT
81,JAN
82,FNT
83,GSP
84,HPN
85,PWM
86,SGF
87,ATW
88,HDN
89,CAE
90,CID
91,MDT
92,MLI
93,PIA
94,ASE
95,BTR
96,ISP
97,MYR
98,PNS
99,ABE
100,FSD
101,JAC
102,LBB
103,LNK
104,MTJ
105,TLH
106,AMA
107,AVL
108,AVP
109,BGR
110,CHA
111,CRW
112,DAB
113,FAR
114,GPT
115,LAN
116,MAF
117,TVC
118,VPS
119,BMI
120,EVV
121,MGM
122,PHF
123,SBN
124,SHV
125,SWF
126,CWA
127,FWA
128,GUC
129,HRL
130,MOB
131,RAP
132,ROA
133,SPI
134,AGS
135,AZO
136,BIL
137,CPR
138,CRP
139,ILM
140,MBS
141,PFN
142,TRI
143,AEX
144,DRO
145,FSM
146,GRK
147,LFT
148,MFE
149,MKG
150,MLU
151,MQT
152,RKS
153,RST
154,SCE
155,TOL
156,ABI
157,BIS
158,CHO
159,CLL
160,CMI
161,DLH
162,EYW
163,FAY
164,GGG
165,LAW
166,LRD
167,LSE
168,MLB
169,OAJ
170,PIR
171,PLN
172,ABY
173,ACT
174,ACY
175,ALO
176,BGM
177,BJI
178,BPT
179,BQK
180,BRO
181,CMX
182,CSG
183,DBQ
184,DHN
185,ERI
186,EWN
187,FLO
188,GFK
189,GNV
190,GTR
191,HHH
192,HTS
193,INL
194,LCH
195,LWB
196,LYH
197,MCN
198,MEI
199,MOT
200,RHI
201,ROW
202,SJT
203,SPS
204,SUX
205,TUP
206,TXK
207,TYR
208,VLD
