,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DTW
5,CVG
6,IAH
7,EWR
8,MCO
9,CLT
10,MEM
11,CLE
12,JFK
13,IAD
14,LGA
15,BOS
16,BWI
17,TPA
18,FLL
19,PHL
20,DCA
21,MDW
22,STL
23,AUS
24,MCI
25,MKE
26,MIA
27,BNA
28,RDU
29,JAX
30,SAT
31,IND
32,MSY
33,PIT
34,BDL
35,CMH
36,RSW
37,BHM
38,HOU
39,OKC
40,SDF
41,PBI
42,TUL
43,ORF
44,OMA
45,BUF
46,DSM
47,GRR
48,LIT
49,PVD
50,XNA
51,MSN
52,DAL
53,RIC
54,ALB
55,CHS
56,DAY
57,MHT
58,ROC
59,SAV
60,GSO
61,GRB
62,SRQ
63,SYR
64,TYS
65,CAK
66,HSV
67,LEX
68,BTV
69,ICT
70,JAN
71,FNT
72,GSP
73,HPN
74,PWM
75,SGF
76,ATW
77,CAE
78,CID
79,MDT
80,MLI
81,PIA
82,BTR
83,ISP
84,MYR
85,PNS
86,ABE
87,FSD
88,LBB
89,LNK
90,TLH
91,AMA
92,AVL
93,AVP
94,BGR
95,CHA
96,CRW
97,DAB
98,FAR
99,GPT
100,LAN
101,MAF
102,TVC
103,VPS
104,BMI
105,EVV
106,MGM
107,PHF
108,SBN
109,SHV
110,SWF
111,CWA
112,FWA
113,HRL
114,MOB
115,ROA
116,SPI
117,AGS
118,AZO
119,CRP
120,ILM
121,MBS
122,PFN
123,TRI
124,ACK
125,AEX
126,FSM
127,GRK
128,LFT
129,MFE
130,MKG
131,MLU
132,MQT
133,RST
134,SCE
135,TOL
136,ABI
137,CHO
138,CLL
139,CMI
140,DLH
141,EYW
142,FAY
143,GGG
144,LAW
145,LRD
146,LSE
147,MLB
148,OAJ
149,PLN
150,ABY
151,ACT
152,ACY
153,ALO
154,BGM
155,BPT
156,BQK
157,BRO
158,CSG
159,DBQ
160,DHN
161,ELM
162,ERI
163,EWN
164,FLO
165,GNV
166,GTR
167,HHH
168,HTS
169,LCH
170,LWB
171,LYH
172,MCN
173,MEI
174,RHI
175,SJT
176,SPS
177,SUX
178,TUP
179,TXK
180,TYR
181,VLD
