,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,EWR
9,MCO
10,CLT
11,MEM
12,CLE
13,JFK
14,IAD
15,LGA
16,BOS
17,BWI
18,TPA
19,FLL
20,PHL
21,DCA
22,MDW
23,STL
24,AUS
25,MCI
26,MKE
27,MIA
28,BNA
29,RDU
30,ABQ
31,JAX
32,SAT
33,IND
34,MSY
35,PIT
36,BDL
37,CMH
38,RSW
39,BHM
40,HOU
41,OKC
42,SDF
43,PBI
44,TUL
45,ORF
46,OMA
47,COS
48,BUF
49,DSM
50,GRR
51,LIT
52,PVD
53,XNA
54,MSN
55,DAL
56,RIC
57,ALB
58,CHS
59,DAY
60,MHT
61,ROC
62,SAV
63,GSO
64,GRB
65,SRQ
66,SYR
67,TYS
68,CAK
69,GJT
70,HSV
71,LEX
72,BTV
73,EGE
74,ICT
75,JAN
76,FNT
77,GSP
78,HPN
79,PWM
80,SGF
81,ATW
82,CAE
83,CID
84,MDT
85,MLI
86,PIA
87,ASE
88,BTR
89,ISP
90,MYR
91,PNS
92,ABE
93,FSD
94,LBB
95,LNK
96,MTJ
97,TLH
98,AMA
99,AVL
100,AVP
101,BGR
102,CHA
103,CRW
104,DAB
105,FAR
106,GPT
107,LAN
108,MAF
109,TVC
110,VPS
111,BMI
112,EVV
113,MGM
114,PHF
115,SBN
116,SHV
117,SWF
118,CWA
119,FWA
120,GUC
121,HRL
122,MOB
123,RAP
124,ROA
125,SPI
126,AGS
127,AZO
128,BIL
129,CPR
130,CRP
131,ILM
132,MBS
133,PFN
134,TRI
135,ACK
136,AEX
137,FSM
138,GRK
139,LFT
140,MFE
141,MKG
142,MLU
143,MQT
144,RST
145,SCE
146,TOL
147,ABI
148,BIS
149,CHO
150,CLL
151,CMI
152,DLH
153,EYW
154,FAY
155,GGG
156,LAW
157,LRD
158,LSE
159,MLB
160,OAJ
161,PLN
162,ABY
163,ACT
164,ACY
165,ALO
166,BGM
167,BJI
168,BPT
169,BQK
170,BRO
171,CMX
172,CSG
173,DBQ
174,DHN
175,ELM
176,ERI
177,EWN
178,FLO
179,GNV
180,GTR
181,HHH
182,HTS
183,LCH
184,LWB
185,LYH
186,MCN
187,MEI
188,RHI
189,SJT
190,SPS
191,SUX
192,TUP
193,TXK
194,TYR
195,VLD
