,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,LAX
12,MCO
13,PHX
14,CLT
15,MEM
16,CLE
17,JFK
18,SFO
19,IAD
20,LGA
21,BOS
22,BWI
23,TPA
24,FLL
25,PHL
26,DCA
27,SEA
28,SAN
29,MDW
30,STL
31,AUS
32,MCI
33,MKE
34,MIA
35,BNA
36,RDU
37,PDX
38,ABQ
39,JAX
40,SAT
41,IND
42,MSY
43,PIT
44,SMF
45,BDL
46,ONT
47,CMH
48,RSW
49,BHM
50,HOU
51,OAK
52,TUS
53,OKC
54,SDF
55,PBI
56,SJC
57,TUL
58,ORF
59,SNA
60,OMA
61,RNO
62,COS
63,BUF
64,DSM
65,GRR
66,LIT
67,PVD
68,XNA
69,BOI
70,LGB
71,MSN
72,DAL
73,ELP
74,RIC
75,ALB
76,CHS
77,DAY
78,FAT
79,GEG
80,MHT
81,PSP
82,ROC
83,SAV
84,GSO
85,GRB
86,SRQ
87,SYR
88,TYS
89,BUR
90,CAK
91,GJT
92,HSV
93,LEX
94,MRY
95,BTV
96,EGE
97,ICT
98,JAN
99,TWF
100,FNT
101,GSP
102,HPN
103,PWM
104,SBA
105,SGF
106,ATW
107,BFL
108,HDN
109,CAE
110,CID
111,MDT
112,MFR
113,MLI
114,PIA
115,ASE
116,BTR
117,BZN
118,IDA
119,ISP
120,MYR
121,PNS
122,ABE
123,FSD
124,JAC
125,LBB
126,LNK
127,MTJ
128,TLH
129,AMA
130,AVL
131,AVP
132,BGR
133,CHA
134,CRW
135,DAB
136,EUG
137,FAR
138,GPT
139,LAN
140,MAF
141,PIH
142,RDM
143,TVC
144,VPS
145,BMI
146,EVV
147,FCA
148,GTF
149,MGM
150,PHF
151,SBN
152,SHV
153,SWF
154,CWA
155,FWA
156,GUC
157,HRL
158,MOB
159,MSO
160,RAP
161,RFD
162,ROA
163,SPI
164,YUM
165,AGS
166,AZO
167,BIL
168,CPR
169,CRP
170,ILM
171,MBS
172,PFN
173,TRI
174,ACK
175,AEX
176,DRO
177,FSM
178,GCC
179,GRK
180,HLN
181,LFT
182,MFE
183,MKG
184,MLU
185,MOD
186,MQT
187,RKS
188,RST
189,SCE
190,SGU
191,TOL
192,ABI
193,BIS
194,CDC
195,CHO
196,CLD
197,CLL
198,CMI
199,COD
200,DLH
201,EYW
202,FAY
203,GGG
204,IPL
205,LAW
206,LRD
207,LSE
208,MLB
209,OAJ
210,PIR
211,PLN
212,PSC
213,SUN
214,ABY
215,ACT
216,ACY
217,ALO
218,BGM
219,BJI
220,BPT
221,BQK
222,BRO
223,CIC
224,CMX
225,CSG
226,DBQ
227,DHN
228,EKO
229,ELM
230,ERI
231,EWN
232,FLO
233,GFK
234,GNV
235,GTR
236,HHH
237,HTS
238,INL
239,LCH
240,LWB
241,LYH
242,MCN
243,MEI
244,MOT
245,RHI
246,ROW
247,SJT
248,SPS
249,SUX
250,TUP
251,TXK
252,TYR
253,VLD
