,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,LAX
12,MCO
13,PHX
14,CLT
15,MEM
16,CLE
17,JFK
18,SFO
19,IAD
20,LGA
21,BOS
22,BWI
23,TPA
24,FLL
25,PHL
26,DCA
27,SEA
28,SAN
29,MDW
30,STL
31,AUS
32,MCI
33,MKE
34,MIA
35,BNA
36,RDU
37,PDX
38,ABQ
39,JAX
40,SAT
41,IND
42,MSY
43,PIT
44,SMF
45,BDL
46,ONT
47,CMH
48,RSW
49,BHM
50,HOU
51,OAK
52,TUS
53,OKC
54,SDF
55,PBI
56,SJC
57,TUL
58,ORF
59,SNA
60,OMA
61,RNO
62,COS
63,BUF
64,DSM
65,GRR
66,LIT
67,PVD
68,XNA
69,BOI
70,LGB
71,MSN
72,DAL
73,ELP
74,RIC
75,ALB
76,CHS
77,DAY
78,FAT
79,GEG
80,MHT
81,PSP
82,ROC
83,SAV
84,GSO
85,GRB
86,SRQ
87,SYR
88,TYS
89,BUR
90,CAK
91,GJT
92,HSV
93,LEX
94,MRY
95,BTV
96,EGE
97,ICT
98,JAN
99,TWF
100,FNT
101,GSP
102,HPN
103,PWM
104,SBA
105,SGF
106,ATW
107,BFL
108,HDN
109,CAE
110,CID
111,MDT
112,MFR
113,MLI
114,PIA
115,ASE
116,BTR
117,BZN
118,IDA
119,ISP
120,MYR
121,PNS
122,ABE
123,FSD
124,JAC
125,LBB
126,LNK
127,MTJ
128,TLH
129,AMA
130,AVL
131,AVP
132,BGR
133,CHA
134,CRW
135,DAB
136,EUG
137,FAR
138,GPT
139,LAN
140,MAF
141,PIH
142,RDM
143,TVC
144,VPS
145,BMI
146,EVV
147,FCA
148,GTF
149,MGM
150,PHF
151,SBN
152,SHV
153,SWF
154,CWA
155,FWA
156,GUC
157,HRL
158,MOB
159,MSO
160,RAP
161,ROA
162,SPI
163,YUM
164,AGS
165,AZO
166,BIL
167,CPR
168,CRP
169,ILM
170,MBS
171,PFN
172,TRI
173,ACK
174,AEX
175,DRO
176,FSM
177,GCC
178,GRK
179,HLN
180,LFT
181,MFE
182,MKG
183,MLU
184,MOD
185,MQT
186,RKS
187,RST
188,SCE
189,SGU
190,TOL
191,ABI
192,BIS
193,CDC
194,CHO
195,CLD
196,CLL
197,CMI
198,COD
199,DLH
200,EYW
201,FAY
202,GGG
203,IPL
204,LAW
205,LRD
206,LSE
207,MLB
208,OAJ
209,PIR
210,PLN
211,PSC
212,SUN
213,ABY
214,ACT
215,ACY
216,ALO
217,BGM
218,BJI
219,BPT
220,BQK
221,BRO
222,CIC
223,CMX
224,CSG
225,DBQ
226,DHN
227,EKO
228,ELM
229,ERI
230,EWN
231,FLO
232,GFK
233,GNV
234,GTR
235,HHH
236,HTS
237,INL
238,LCH
239,LWB
240,LYH
241,MCN
242,MEI
243,MOT
244,RHI
245,ROW
246,SJT
247,SPS
248,SUX
249,TUP
250,TXK
251,TYR
252,VLD
