,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,LAX
12,MCO
13,PHX
14,CLT
15,MEM
16,CLE
17,JFK
18,SFO
19,IAD
20,LGA
21,BOS
22,BWI
23,TPA
24,FLL
25,PHL
26,DCA
27,SEA
28,SAN
29,MDW
30,STL
31,AUS
32,MCI
33,MKE
34,MIA
35,BNA
36,RDU
37,PDX
38,ABQ
39,JAX
40,SAT
41,IND
42,MSY
43,PIT
44,SMF
45,BDL
46,ONT
47,CMH
48,RSW
49,BHM
50,HOU
51,OAK
52,TUS
53,OKC
54,SDF
55,PBI
56,SJC
57,TUL
58,ORF
59,SNA
60,OMA
61,RNO
62,COS
63,BUF
64,DSM
65,GRR
66,LIT
67,PVD
68,XNA
69,BOI
70,LGB
71,MSN
72,DAL
73,ELP
74,RIC
75,ALB
76,CHS
77,DAY
78,FAT
79,GEG
80,MHT
81,PSP
82,ROC
83,SAV
84,GSO
85,GRB
86,SRQ
87,SYR
88,TYS
89,BUR
90,CAK
91,GJT
92,HSV
93,LEX
94,MRY
95,BTV
96,EGE
97,ICT
98,JAN
99,TWF
100,FNT
101,GSP
102,HPN
103,PWM
104,SBA
105,SGF
106,ATW
107,BFL
108,HDN
109,CAE
110,CID
111,MDT
112,MFR
113,MLI
114,PIA
115,ASE
116,BTR
117,BZN
118,IDA
119,ISP
120,MYR
121,PNS
122,ABE
123,FSD
124,JAC
125,LBB
126,LNK
127,MTJ
128,TLH
129,AMA
130,AVL
131,AVP
132,BGR
133,CHA
134,CRW
135,DAB
136,EUG
137,FAR
138,GPT
139,LAN
140,MAF
141,PIH
142,RDM
143,TVC
144,VPS
145,BMI
146,EVV
147,FCA
148,GTF
149,MGM
150,PHF
151,SBN
152,SHV
153,SWF
154,CWA
155,FWA
156,GUC
157,HRL
158,MOB
159,MSO
160,RAP
161,ROA
162,SPI
163,YUM
164,AGS
165,AZO
166,BIL
167,CPR
168,CRP
169,ILM
170,MBS
171,PFN
172,TRI
173,ACK
174,AEX
175,DRO
176,FSM
177,GCC
178,GRK
179,HLN
180,LFT
181,MFE
182,MKG
183,MLU
184,MOD
185,MQT
186,RKS
187,RST
188,SCE
189,TOL
190,ABI
191,BIS
192,CHO
193,CLD
194,CLL
195,CMI
196,COD
197,DLH
198,EYW
199,FAY
200,GGG
201,LAW
202,LRD
203,LSE
204,MLB
205,OAJ
206,PIR
207,PLN
208,PSC
209,SUN
210,ABY
211,ACT
212,ACY
213,ALO
214,BGM
215,BJI
216,BPT
217,BQK
218,BRO
219,CIC
220,CMX
221,CSG
222,DBQ
223,DHN
224,EKO
225,ELM
226,ERI
227,EWN
228,FLO
229,GFK
230,GNV
231,GTR
232,HHH
233,HTS
234,INL
235,LCH
236,LWB
237,LYH
238,MCN
239,MEI
240,MOT
241,RHI
242,ROW
243,SJT
244,SPS
245,SUX
246,TUP
247,TXK
248,TYR
249,VLD
