,iata
0,ATL
1,ORD
2,DFW
3,MSP
4,DEN
5,DTW
6,CVG
7,IAH
8,SLC
9,EWR
10,LAS
11,LAX
12,MCO
13,PHX
14,CLT
15,MEM
16,CLE
17,JFK
18,SFO
19,IAD
20,LGA
21,BOS
22,BWI
23,TPA
24,FLL
25,PHL
26,DCA
27,SEA
28,SAN
29,MDW
30,STL
31,AUS
32,MCI
33,MKE
34,MIA
35,BNA
36,RDU
37,PDX
38,ABQ
39,JAX
40,SAT
41,IND
42,MSY
43,PIT
44,SMF
45,BDL
46,ONT
47,CMH
48,RSW
49,BHM
50,HOU
51,OAK
52,TUS
53,OKC
54,SDF
55,PBI
56,SJC
57,TUL
58,ORF
59,SNA
60,OMA
61,RNO
62,COS
63,BUF
64,DSM
65,GRR
66,LIT
67,PVD
68,XNA
69,BOI
70,LGB
71,MSN
72,DAL
73,ELP
74,RIC
75,ALB
76,CHS
77,DAY
78,FAT
79,GEG
80,MHT
81,PSP
82,ROC
83,SAV
84,GSO
85,GRB
86,SRQ
87,SYR
88,TYS
89,BUR
90,CAK
91,GJT
92,HSV
93,LEX
94,MRY
95,BTV
96,EGE
97,ICT
98,JAN
99,TWF
100,FNT
101,GSP
102,HPN
103,PWM
104,SBA
105,SGF
106,ATW
107,BFL
108,HDN
109,CAE
110,CID
111,MDT
112,MFR
113,MLI
114,PIA
115,ASE
116,BTR
117,BZN
118,IDA
119,ISP
120,MYR
121,PNS
122,ABE
123,FSD
124,JAC
125,LBB
126,LNK
127,MTJ
128,TLH
129,AMA
130,AVL
131,AVP
132,BGR
133,CHA
134,CRW
135,DAB
136,EUG
137,FAR
138,GPT
139,LAN
140,MAF
141,PIH
142,RDM
143,TVC
144,VPS
145,BMI
146,EVV
147,FCA
148,GTF
149,MGM
150,PHF
151,SBN
152,SHV
153,SWF
154,CWA
155,FWA
156,GUC
157,HRL
158,MOB
159,MSO
160,RAP
161,RFD
162,ROA
163,SPI
164,YUM
165,ACV
166,AGS
167,AZO
168,BIL
169,CPR
170,CRP
171,ILM
172,MBS
173,PFN
174,TRI
175,ACK
176,AEX
177,DRO
178,FSM
179,GCC
180,GRK
181,HLN
182,LFT
183,MFE
184,MKG
185,MLU
186,MOD
187,MQT
188,RDD
189,RKS
190,RST
191,SCE
192,SGU
193,TOL
194,ABI
195,BIS
196,BLI
197,CDC
198,CEC
199,CHO
200,CLD
201,CLL
202,CMI
203,COD
204,DLH
205,EYW
206,FAY
207,GGG
208,IPL
209,LAW
210,LMT
211,LRD
212,LSE
213,MLB
214,OAJ
215,PIR
216,PLN
217,PSC
218,SUN
219,ABY
220,ACT
221,ACY
222,ALO
223,BGM
224,BJI
225,BPT
226,BQK
227,BRO
228,CIC
229,CMX
230,CSG
231,DBQ
232,DHN
233,EKO
234,ELM
235,ERI
236,EWN
237,FLO
238,GFK
239,GNV
240,GTR
241,HHH
242,HTS
243,INL
244,LCH
245,LWB
246,LWS
247,LYH
248,MCN
249,MEI
250,MOT
251,RHI
252,ROW
253,SJT
254,SLE
255,SPS
256,SUX
257,TUP
258,TXK
259,TYR
260,VLD
